,Rpn10_Razul_KO/wt,,Rpn10_UIM_KO/wt,,Rpn13_KO/wt,,trRpn13/wt,,UCHL5_KO/wt,,USP14_KO/wt,
MAP4,0.06,1.63,0.16,2.59,0.04,0.90,0.07,0.95,0.42,3.82,0.05,0.68
VCL,-0.05,0.57,0.27,3.03,-0.03,0.27,0.19,2.54,-0.07,0.76,0.00,0.02
MACF1,0.70,3.39,0.56,4.08,0.13,1.42,0.39,3.07,-0.25,2.13,0.00,0.03
HSPA9,-0.10,0.65,0.00,0.02,0.00,0.01,0.06,0.43,0.10,0.70,-0.11,0.66
EEF2,-0.12,0.98,-0.10,1.12,0.02,0.14,-0.12,1.11,0.02,0.18,-0.06,0.51
IQGAP1,0.11,1.14,0.39,2.96,0.00,0.03,-0.04,0.30,-0.07,0.46,-0.02,0.15
MYH14,0.83,4.41,1.41,5.33,0.52,4.31,0.47,3.04,-0.28,2.57,0.14,1.43
ACTN4,0.33,2.43,-0.02,0.17,-0.20,2.05,-0.10,0.99,-0.04,0.41,-0.08,0.78
HSPA4,-0.05,0.64,0.06,0.85,0.15,1.81,0.02,0.20,0.23,2.47,0.08,0.95
PRPF8,-0.17,1.51,-0.11,0.98,-0.14,1.00,-0.07,0.63,-0.12,0.73,-0.01,0.07
HSPA8,0.25,3.01,0.21,2.81,0.26,2.19,0.05,1.35,0.17,1.49,0.13,2.55
PKM,0.28,2.05,0.16,1.24,-0.25,1.63,0.16,1.19,0.24,1.88,0.15,1.21
SNRNP200,-0.04,0.29,-0.01,0.05,-0.08,0.67,-0.05,0.39,-0.09,0.65,0.04,0.33
LMNA,0.69,3.13,0.50,2.78,-0.09,0.48,0.21,1.13,0.45,2.31,0.09,0.39
EIF3A,0.13,1.32,0.03,0.45,0.24,2.69,0.15,1.77,0.01,0.06,0.10,1.72
VCP,0.57,4.30,0.78,5.09,0.29,3.64,0.37,4.73,0.11,2.40,0.13,2.57
PKM,0.16,1.09,0.07,0.48,-0.32,2.01,0.06,0.31,0.14,1.11,0.05,0.33
CAD,0.03,0.35,-0.47,4.08,-0.19,2.67,-0.13,1.38,0.13,1.83,-0.45,3.79
LRPPRC,-0.53,4.11,-0.38,3.32,-0.08,0.83,-0.20,2.22,-0.36,2.59,-0.67,4.26
PARP1,0.01,0.03,0.10,0.88,-0.06,0.45,0.09,0.74,0.19,1.32,0.00,0.01
UBR4,-0.13,1.58,0.20,2.51,0.05,0.43,0.02,0.20,-0.22,1.88,-0.10,1.29
CCT2,-0.09,0.59,-0.08,0.57,0.12,0.75,0.08,0.52,0.27,1.76,0.23,1.68
GAPDH,0.01,0.47,0.23,4.30,-0.18,4.07,0.04,1.35,0.14,2.56,-0.07,1.83
HSP90B1,0.00,0.10,-0.17,1.99,-0.30,4.33,-0.14,2.46,-0.37,3.55,-0.28,3.82
MSN,0.41,3.35,0.48,3.54,0.06,0.75,0.22,2.55,0.09,1.08,-0.03,0.34
HNRNPU,-0.08,1.51,0.05,0.71,0.02,0.23,0.06,1.56,0.13,1.24,0.18,2.90
HSPA5,0.05,0.24,-0.24,1.40,-0.10,0.56,-0.05,0.25,-0.22,1.07,-0.10,0.46
ENO1,-0.22,2.30,-0.04,0.50,-0.12,1.59,0.14,1.86,0.16,2.16,-0.04,0.45
ACTG1,0.48,3.48,0.17,1.87,0.13,1.21,0.09,0.88,0.11,0.91,0.14,1.23
NCL,-0.19,1.64,-0.30,2.23,0.05,0.37,-0.02,0.17,0.11,1.08,-0.02,0.20
KIF5B,0.04,0.46,0.31,2.96,0.14,2.30,0.11,1.12,0.01,0.09,0.20,2.68
DHX9,-0.17,1.21,0.00,0.02,-0.08,0.62,-0.01,0.06,-0.08,0.56,-0.06,0.44
EZR,0.45,2.81,0.31,2.29,0.08,0.73,0.15,1.48,0.22,1.49,0.03,0.27
MACF1,1.11,1.96,0.93,2.23,0.36,0.77,0.49,1.73,0.40,0.80,0.37,1.34
XRCC5,-0.33,1.38,-0.14,0.61,-0.21,1.02,-0.14,0.69,-0.08,0.37,-0.11,0.48
STIP1,-0.12,1.26,-0.09,0.82,-0.02,0.17,-0.06,0.53,0.06,0.52,0.03,0.23
AARS,-0.51,1.86,-0.35,1.46,-0.29,1.19,-0.10,0.38,0.05,0.15,-0.13,0.58
SMC1A,-0.23,2.85,-0.05,0.51,0.14,1.59,-0.10,1.36,-0.03,0.37,0.08,1.13
EIF4G1,0.02,0.10,0.09,0.75,0.03,0.25,0.00,0.00,-0.03,0.22,0.02,0.12
PDCD11,-0.09,0.58,-0.21,1.28,0.07,0.44,0.10,0.71,0.14,0.88,0.09,0.51
FAT1,-0.23,2.91,-0.22,2.73,-0.51,4.00,0.32,2.12,-0.05,0.19,0.21,2.39
PDIA4,0.02,0.07,-0.22,0.98,-0.39,1.54,-0.26,1.10,-0.31,1.19,-0.30,1.21
XRCC6,-0.41,1.84,-0.19,0.96,-0.25,1.21,-0.20,1.03,-0.17,0.80,-0.18,0.90
CCT5,-0.16,1.15,-0.15,0.95,0.02,0.14,0.00,0.03,0.15,0.96,0.07,0.44
ACTN1,0.31,4.08,0.21,2.91,0.12,1.65,0.04,0.48,-0.04,0.70,-0.02,0.36
CCT3,-0.05,0.27,-0.09,0.60,0.09,0.90,0.09,0.87,0.19,1.88,0.17,1.06
HNRNPM,-0.01,0.22,0.06,0.76,0.06,1.18,0.08,0.96,0.04,0.53,0.12,1.71
ATP1A1,0.05,0.26,0.09,1.10,-0.17,1.75,-0.09,1.01,-0.04,0.37,-0.05,0.47
SF3B2,0.08,0.33,0.09,0.38,0.06,0.28,0.05,0.21,0.06,0.24,0.13,0.57
DDX21,-0.12,0.75,-0.33,2.46,0.07,0.63,-0.07,0.62,-0.01,0.06,0.03,0.23
ITGB4,0.54,2.40,0.05,0.20,-0.20,0.95,-0.06,0.25,0.17,0.95,-0.02,0.08
CKAP5,0.23,0.68,0.29,0.95,0.22,0.68,0.06,0.15,0.07,0.16,0.13,0.36
HSPH1,0.35,2.06,0.40,2.74,0.52,3.28,-0.22,1.61,0.80,4.15,0.07,0.44
SRRM2,0.06,0.49,-0.01,0.06,0.07,0.58,0.16,1.43,0.08,0.47,0.34,2.68
CCT4,-0.18,2.57,-0.18,2.76,0.03,0.59,-0.02,0.27,0.19,2.53,0.12,1.33
CCT8,-0.32,2.09,-0.28,2.28,-0.14,1.39,-0.18,1.52,0.00,0.00,-0.09,0.73
CCT7,-0.10,0.90,-0.16,1.92,0.07,1.05,-0.02,0.16,0.16,2.20,0.13,1.91
DNMT1,0.43,2.86,0.31,2.19,0.48,2.92,0.20,1.24,0.38,1.50,0.48,3.37
LMNB1,-0.07,0.28,0.00,0.01,-0.09,0.43,0.01,0.06,-0.08,0.40,0.24,1.46
KTN1,0.08,0.69,0.38,2.85,-0.14,1.12,0.08,0.67,0.25,2.08,0.01,0.05
SUPT16H,-0.34,1.31,-0.28,1.14,-0.75,2.30,-0.23,0.96,0.00,0.01,-0.04,0.16
HSPA1B,0.11,0.31,0.05,0.13,0.21,0.73,-0.10,0.24,-0.16,0.47,0.03,0.07
ACLY,-0.31,1.36,-0.53,2.09,-0.03,0.14,-0.14,0.62,-0.23,1.12,-0.20,0.91
FKBP4,-0.61,2.25,-0.65,2.35,-0.18,0.83,-0.37,1.59,-0.24,1.02,-0.35,1.55
MCM2,-0.30,1.05,-0.17,0.61,-0.05,0.15,-0.19,0.59,-0.24,0.86,-0.17,0.62
SF3B1,-0.08,0.64,-0.03,0.29,-0.06,0.88,0.04,0.65,-0.03,0.30,0.16,1.72
TUBB4B,0.07,1.10,0.08,0.91,0.04,0.55,-0.10,1.75,-0.01,0.11,0.07,1.18
CTNNA1,-0.70,2.98,-0.99,3.35,0.21,1.48,-0.24,1.54,-0.87,3.18,-0.03,0.16
CCT8,-0.97,2.67,-0.82,2.78,-0.63,2.48,-0.54,1.47,-0.83,1.99,-0.60,1.39
MTHFD1,-0.38,4.04,-0.32,4.03,-0.06,0.96,-0.13,2.52,0.19,2.33,-0.05,1.38
DDB1,-0.04,0.26,0.02,0.16,0.03,0.20,0.01,0.03,0.07,0.59,0.07,0.49
ILF3,-0.28,1.33,-0.20,0.89,-0.16,0.74,-0.14,0.66,-0.17,0.81,-0.05,0.19
LMNB2,0.14,1.63,0.07,0.97,0.06,1.03,0.13,1.77,0.01,0.06,0.15,2.03
VARS,-0.12,1.21,-0.50,3.44,0.00,0.00,-0.27,2.20,-0.19,2.08,-0.20,1.86
PFKP,-0.27,1.12,-0.21,0.90,-0.07,0.30,-0.21,0.94,-0.13,0.57,-0.25,1.12
P4HB,-0.17,1.43,-0.50,2.90,-0.41,2.62,-0.29,2.12,-0.31,2.15,-0.35,2.36
TCP1,-0.06,0.59,-0.08,0.75,0.07,0.87,0.09,1.03,0.20,2.01,0.17,1.59
TUBB,0.17,0.98,0.18,1.11,-0.01,0.06,0.09,0.49,-0.03,0.09,0.13,0.54
SYNCRIP,-0.27,3.42,-0.25,3.22,-0.05,1.24,0.02,0.38,0.10,2.03,-0.04,0.88
LARS,-0.58,2.80,-0.34,2.14,-0.27,1.85,0.08,0.56,-0.21,1.33,-0.43,2.25
ATP5F1B,-0.08,0.57,-0.05,0.32,-0.26,1.90,0.06,0.45,0.00,0.02,0.02,0.15
MCM3,-0.03,0.39,0.07,0.80,0.15,2.20,0.04,0.49,-0.04,0.29,0.08,1.25
GOLGB1,0.41,1.57,0.38,1.80,0.23,1.09,0.09,0.33,0.10,0.52,0.22,1.08
GART,-0.38,4.77,-0.56,5.31,-0.28,3.34,-0.21,3.58,-0.04,0.35,-0.16,1.64
CHD4,0.03,0.44,0.16,2.31,0.10,1.84,0.07,1.44,-0.03,0.32,0.11,2.02
COPA,0.10,0.70,0.02,0.13,-0.03,0.22,0.00,0.03,-0.07,0.63,0.04,0.39
UBA1,0.02,0.34,0.04,0.42,-0.13,2.02,-0.06,0.95,0.05,0.63,0.03,0.36
ATP2A2,0.07,0.68,0.09,1.29,0.16,2.28,0.05,0.66,0.03,0.19,0.04,0.19
MDN1,0.09,0.44,-0.08,0.27,-0.02,0.09,0.11,0.90,0.01,0.02,-0.02,0.10
SF3B3,-0.05,0.20,0.01,0.05,-0.03,0.10,-0.02,0.06,0.03,0.10,0.17,0.69
ALDOA,0.03,0.20,0.17,1.34,-0.06,0.38,0.08,0.58,0.02,0.12,-0.02,0.13
HUWE1,0.26,1.73,0.40,2.07,-0.02,0.12,-0.26,1.66,-0.14,0.90,0.05,0.33
PRRC2C,0.16,1.99,0.19,2.38,0.17,2.07,0.14,2.18,-0.04,0.62,0.14,2.27
KRT18,0.86,4.38,-0.06,0.70,0.25,2.66,0.15,1.43,-0.71,3.70,-0.09,0.70
ITPRID2,-0.21,2.53,-0.31,3.03,0.21,2.76,-0.05,0.85,-0.62,3.57,0.02,0.18
GLG1,0.17,0.80,-0.12,0.99,0.26,1.78,-0.03,0.23,-0.31,2.39,-0.12,1.08
SMC3,-0.26,2.38,-0.05,0.63,0.39,3.23,-0.10,0.80,-0.02,0.18,0.10,1.12
DCTN1,0.02,0.24,0.20,2.27,-0.02,0.16,0.05,0.54,-0.15,2.12,-0.16,2.17
HDLBP,0.22,3.36,0.26,4.19,-0.39,3.75,-0.13,1.45,0.03,0.11,0.04,0.65
DDX46,-0.20,1.87,-0.15,1.63,0.02,0.20,-0.06,0.46,0.00,0.02,0.10,1.06
HADHA,0.05,0.50,0.26,1.68,0.02,0.11,-0.04,0.32,-0.08,0.42,-0.04,0.39
SUPT6H,0.32,3.38,0.47,4.35,0.13,2.62,0.12,1.67,0.08,1.20,0.32,2.94
ANXA2,0.63,4.20,0.49,4.59,0.21,3.07,-0.02,0.28,0.12,1.49,0.06,0.97
EFTUD2,-0.07,0.78,-0.04,0.42,-0.05,0.82,0.03,0.24,0.08,1.16,0.06,1.14
EPPK1,-1.42,4.21,-1.48,4.73,0.19,1.92,-0.85,4.07,-1.45,4.76,0.36,2.17
RDX,-0.07,0.49,0.29,2.76,0.26,2.81,-0.03,0.22,-0.01,0.11,0.25,2.14
IPO5,-0.32,0.95,-0.30,0.95,-0.14,0.45,-0.23,0.75,-0.04,0.10,-0.15,0.46
KRT19,0.41,3.24,-0.49,3.85,0.18,3.21,0.07,1.07,-0.48,4.34,0.01,0.21
EEF1A1,0.17,0.97,0.19,1.17,0.06,0.37,0.04,0.26,0.13,0.88,0.04,0.24
PSMD1,0.47,2.30,0.76,3.98,0.35,2.51,0.14,1.04,0.05,0.34,0.20,1.64
TUBB4A,0.59,2.72,1.44,3.01,0.38,2.02,0.19,0.79,0.07,0.22,0.17,0.81
TRIM28,-0.10,0.51,0.04,0.17,0.32,1.78,0.14,0.87,-0.01,0.05,0.15,0.75
SMCHD1,0.35,1.98,0.34,2.07,0.19,1.15,0.31,1.90,0.14,0.83,0.31,1.84
KHSRP,-0.01,0.10,-0.08,0.76,0.02,0.19,0.02,0.18,0.00,0.01,0.13,1.30
SMC2,0.00,0.01,0.16,1.80,-0.05,0.62,0.01,0.07,0.13,1.80,0.06,0.77
TOP1,-0.58,3.90,-0.40,3.32,-0.26,2.35,-0.25,1.97,-0.08,0.46,-0.17,1.41
ROCK2,0.36,3.21,0.74,4.31,0.27,2.34,0.01,0.34,0.09,1.07,0.17,2.27
TCOF1,-0.01,0.03,-0.18,1.02,0.17,0.89,0.05,0.21,0.06,0.32,0.00,0.02
SND1,-0.16,0.99,-0.08,0.44,-0.25,1.54,-0.12,0.75,-0.06,0.28,-0.07,0.34
HECTD1,0.29,1.58,0.19,1.59,0.15,1.20,0.12,0.60,0.10,0.75,0.33,2.28
POLR2A,0.04,0.24,0.07,0.61,0.21,1.88,0.05,0.39,0.08,0.34,0.26,2.11
NPEPPS,-0.17,1.42,0.10,1.10,-0.08,0.74,0.00,0.02,0.01,0.05,-0.07,0.61
IGF2R,0.02,0.12,0.00,0.03,0.02,0.16,0.33,2.85,-0.11,1.11,-0.07,0.76
PSMC2,0.49,2.11,0.64,2.91,0.24,1.20,0.13,0.60,-0.09,0.38,0.02,0.09
HYOU1,0.00,0.01,-0.36,4.19,-0.35,3.10,-0.12,1.64,-0.20,1.53,-0.38,4.30
SF3A1,0.14,1.75,0.13,1.51,0.06,0.74,0.08,1.05,0.14,1.34,0.08,0.96
MCM7,0.00,0.00,0.05,0.21,0.19,1.01,0.02,0.06,0.02,0.05,0.03,0.12
TUBB2A,0.59,2.77,0.67,3.58,0.45,2.59,-0.07,0.37,0.28,2.06,0.40,2.62
IMMT,-0.16,1.09,-0.06,0.40,-0.05,0.38,0.00,0.00,0.06,0.41,-1.00,3.68
PGK1,-0.12,1.30,-0.05,0.61,-0.19,1.77,-0.07,0.56,0.13,1.00,-0.02,0.14
SART1,0.13,1.97,0.02,0.22,0.20,2.20,0.15,1.96,0.16,1.45,0.27,3.52
IARS,-0.60,2.58,-0.48,2.32,-0.32,1.64,-0.25,1.36,-0.17,0.81,-0.29,1.56
TCOF1,-0.53,0.34,-0.43,0.35,-0.21,0.19,0.03,0.02,-0.37,0.35,-0.13,0.09
HSPA4L,-0.11,0.56,0.00,0.02,0.32,1.98,-0.12,0.60,0.29,1.81,-0.05,0.25
SFPQ,-0.01,0.04,0.04,0.28,0.03,0.16,0.12,0.97,0.03,0.13,0.14,1.02
SMARCA5,0.22,1.30,0.35,2.54,0.29,2.59,0.20,2.01,0.30,1.73,0.32,2.25
NAA15,-0.18,0.85,-0.18,0.90,0.04,0.18,0.00,0.01,0.09,0.47,-0.08,0.39
DHX15,-0.03,0.72,0.02,0.91,0.10,1.92,0.08,1.93,0.05,1.10,0.22,4.33
EIF5B,-0.85,3.85,-0.18,1.25,0.06,0.59,0.07,0.68,0.28,2.33,0.07,0.55
TMPO,-0.04,0.32,0.23,2.45,0.01,0.13,0.05,1.94,0.03,0.17,0.21,2.24
UPF1,0.14,1.65,-0.04,0.83,0.09,1.30,0.03,0.51,0.02,0.12,0.24,3.65
ADAR,-0.08,0.79,0.02,0.17,0.09,0.94,0.07,0.82,0.08,1.07,-0.02,0.18
TUFM,-0.16,2.11,-0.31,3.26,-0.07,1.07,-0.01,0.11,0.03,0.30,-0.13,1.94
MCM5,-0.16,0.78,-0.05,0.21,0.07,0.29,-0.08,0.32,-0.08,0.36,-0.02,0.07
EIF3C,-0.06,0.21,-0.11,0.50,0.05,0.22,-0.02,0.06,-0.13,0.62,-0.04,0.16
ATP5F1A,-0.15,1.24,-0.01,0.08,-0.25,2.03,0.02,0.12,0.06,0.49,0.00,0.03
PSMC3,0.47,3.04,0.65,3.75,0.31,2.27,0.15,1.06,0.11,0.87,0.03,0.16
PDIA3,0.14,1.24,-0.08,0.73,-0.02,0.21,0.05,0.36,-0.03,0.14,0.08,0.56
PSMC1,0.45,3.22,0.68,3.67,0.23,2.28,0.11,0.92,-0.03,0.20,0.00,0.00
PSMD2,0.52,2.54,0.87,3.87,0.27,1.91,0.13,0.89,0.17,1.13,0.07,0.42
PALLD,1.28,5.08,0.58,3.72,1.02,2.97,0.25,1.85,0.40,1.59,0.31,3.39
ACACA,-0.43,2.77,-0.64,3.37,0.30,2.54,-0.04,0.21,0.03,0.27,-0.25,2.03
DDX5,0.27,2.62,0.22,2.36,0.29,2.73,0.13,0.84,0.10,0.88,0.36,2.99
MCM4,-0.23,0.70,-0.15,0.46,-0.03,0.08,-0.17,0.49,-0.22,0.62,-0.15,0.43
SON,0.42,3.39,0.02,0.58,0.04,0.79,-0.04,0.86,0.03,0.90,0.16,2.23
RUVBL2,-0.16,1.98,-0.21,3.08,0.08,1.19,-0.10,1.27,0.04,0.43,-0.25,3.30
ATIC,-0.15,1.77,-0.18,2.26,-0.05,0.59,-0.12,1.29,-0.19,2.32,-0.12,1.56
MYBBP1A,-0.62,1.74,-0.71,1.89,-0.46,1.39,-0.20,0.61,-0.40,1.18,-0.44,1.33
PA2G4,-0.44,1.63,-0.50,1.89,-0.22,0.94,-0.26,1.12,0.04,0.16,-0.19,0.85
LIMA1,-0.51,3.53,-0.33,2.74,0.53,2.89,-0.18,2.55,-0.08,1.09,0.19,2.89
CAST,0.04,0.20,0.21,1.71,0.27,2.03,-0.09,0.59,0.29,2.43,0.04,0.29
TOP2A,0.51,2.93,0.46,2.14,0.12,0.78,0.09,0.25,0.43,1.34,0.39,2.05
CDC5L,0.10,0.63,0.01,0.06,0.14,0.74,0.10,0.46,0.09,0.34,0.19,0.96
CLUH,0.08,0.37,-0.16,0.74,0.28,1.35,0.03,0.08,0.09,0.32,0.04,0.13
TPM3,0.19,1.09,0.32,3.59,0.23,1.97,0.12,0.83,-0.03,0.10,0.11,0.86
MTREX,0.03,0.30,0.12,1.53,0.26,2.88,0.09,1.31,-0.12,1.31,0.09,1.20
EEA1,0.01,0.05,0.02,0.08,0.08,0.49,0.10,0.52,0.27,1.74,0.13,0.90
BAZ1B,0.02,0.32,0.20,3.14,0.02,0.38,0.15,2.39,0.20,2.76,0.21,2.40
SMC4,0.10,0.59,0.28,1.84,-0.03,0.17,0.03,0.16,0.15,0.97,0.10,0.57
HNRNPK,-0.18,1.86,-0.11,1.67,-0.01,0.17,-0.02,0.22,-0.09,0.89,-0.02,0.11
HSD17B4,-0.09,1.00,0.52,3.15,0.02,0.17,0.16,1.88,-0.15,1.22,0.02,0.14
RARS,-0.33,0.92,-0.22,0.67,-0.15,0.43,-0.33,0.99,-0.21,0.64,-0.25,0.77
NAT10,0.00,0.01,-0.25,3.12,-0.10,1.48,0.01,0.06,0.09,1.45,-0.12,1.44
DDX17,-0.04,0.54,0.04,0.58,-0.14,1.89,0.10,1.99,-0.03,0.35,0.04,0.39
MYO6,-0.49,4.20,-0.06,2.78,0.29,3.87,-1.01,6.76,-0.31,3.97,-0.10,2.27
TKT,0.05,0.25,0.05,0.34,0.17,1.28,0.16,1.04,0.24,1.77,0.05,0.33
UGGT1,-0.28,1.65,-0.24,1.52,-0.18,1.06,-0.05,0.24,-0.21,1.14,-0.07,0.33
MCM6,-0.16,1.06,-0.06,0.37,0.08,0.50,-0.10,0.60,-0.10,0.67,-0.06,0.35
RPL4,-0.14,1.75,-0.23,2.35,0.02,0.28,-0.07,0.89,-0.05,0.50,-0.09,1.08
MATR3,-0.26,1.17,-0.15,0.73,-0.12,0.52,-0.14,0.53,-0.22,0.94,-0.06,0.24
LRBA,-0.53,3.77,-0.32,2.41,-0.24,2.13,-0.09,1.13,-0.32,2.58,-0.26,1.76
CSDE1,0.25,2.42,0.46,2.96,0.50,3.30,0.42,1.96,0.41,1.72,0.51,2.49
WDHD1,-0.02,0.20,0.07,0.55,0.12,1.64,-0.05,0.46,-0.08,0.78,-0.17,1.45
TP53BP1,0.53,2.07,0.56,2.72,-0.44,1.88,0.30,1.86,-0.04,0.24,0.11,0.61
RSL1D1,-0.23,2.22,-0.36,3.07,-0.07,1.26,-0.04,0.59,0.03,0.21,-0.15,2.12
TPM2,0.40,1.47,0.35,1.25,0.19,0.60,0.19,0.61,-0.03,0.08,0.07,0.18
MVP,-0.05,0.33,-0.09,0.92,0.24,1.66,-0.08,0.83,-0.12,0.80,-0.58,3.51
TRIP12,0.42,2.45,0.47,2.93,0.42,2.40,0.30,1.92,0.30,1.78,0.30,2.22
ACIN1,0.12,0.77,0.04,0.26,-0.01,0.04,0.10,0.80,0.07,0.55,0.33,2.45
TUBB3,0.26,1.77,0.24,1.69,-0.17,1.14,-0.22,1.44,0.09,0.49,0.07,0.41
PDCD6IP,-0.06,0.21,-0.01,0.02,-1.09,2.65,-0.12,0.43,-0.13,0.48,-0.13,0.51
ANXA6,0.36,1.87,1.02,4.84,-0.01,0.05,0.14,1.13,0.01,0.06,-0.05,0.24
LONP1,-0.20,1.89,-0.44,3.11,-0.04,0.19,-0.08,0.60,0.12,0.70,-0.97,4.08
PABPC1,0.21,1.56,0.18,1.54,0.28,1.80,0.11,0.58,0.02,0.05,0.31,2.50
SAFB,0.05,0.39,0.01,0.08,0.02,0.25,0.00,0.03,0.05,0.52,0.07,0.79
JUP,-0.67,2.70,-0.56,2.62,0.23,1.60,-0.14,0.85,-0.46,2.27,0.02,0.12
RNF40,0.25,2.63,0.33,2.81,0.24,2.63,0.12,1.29,0.02,0.16,0.29,2.39
HNRNPR,0.10,0.53,0.05,0.23,-0.10,0.66,0.02,0.11,-0.03,0.18,-0.08,0.46
RPL3,0.02,0.14,-0.04,0.37,0.12,1.04,0.02,0.22,0.06,0.38,0.03,0.20
TRAP1,-0.52,3.82,-0.47,3.51,-0.11,1.28,-0.08,1.25,0.14,1.59,-0.11,1.53
CCAR2,0.10,1.61,0.07,1.63,0.07,0.90,0.06,1.09,0.17,1.54,0.10,1.08
USP7,-0.18,2.08,-0.05,0.54,0.01,0.08,0.09,1.37,0.02,0.19,0.07,1.15
GMPS,-0.22,1.01,-0.12,0.55,0.02,0.08,-0.03,0.09,0.03,0.11,-0.01,0.03
QARS,0.07,0.60,-0.09,0.95,-0.09,0.58,-0.16,1.38,0.04,0.20,-0.25,1.78
COPG1,0.27,3.00,0.05,0.85,0.12,1.92,0.05,0.88,-0.03,0.24,0.06,1.54
DIAPH1,-0.02,0.13,0.18,1.59,0.46,3.43,0.15,1.35,0.02,0.17,0.18,1.41
COPB1,0.13,1.71,-0.05,0.60,0.05,0.97,0.02,0.46,-0.12,1.23,0.00,0.05
TPM4,0.62,1.79,0.56,1.55,1.59,4.12,0.31,0.84,-0.13,0.32,0.29,1.10
SRRT,0.08,1.11,0.09,1.16,0.06,0.62,-0.02,0.20,0.08,0.61,0.25,2.38
DDX3X,0.18,1.03,0.18,1.08,0.27,1.55,0.14,0.79,0.08,0.34,0.12,0.66
CAP1,0.15,0.38,0.06,0.10,0.08,0.20,0.06,0.06,-0.12,0.21,-0.21,0.52
NPM1,-0.44,3.23,-0.41,3.30,-0.08,0.83,-0.12,1.53,-0.05,0.42,-0.10,1.05
HNRNPUL2,-0.26,2.79,-0.43,3.57,-0.26,2.81,-0.09,1.56,-0.12,0.91,-0.10,0.80
CAP1,0.14,2.32,0.04,0.85,0.09,1.41,-0.12,2.23,-0.17,2.92,0.00,0.00
